timestamp,open,high,low,close,volume,sma_10,pct_change
1755601500,115510.83,115511.67,115486.37,115511.67,4.61,115511.67,-0.02
1755601560,115513.26,115539.68,115513.25,115539.67,1.99,115539.67,-0.02
1755601620,115539.67,115539.68,115539.67,115539.68,0.97,115539.68,-0.02
1755601680,115539.67,115550.00,115539.67,115545.59,8.13,115545.59,-0.02
1755601740,115545.59,115552.90,115539.67,115552.89,7.18,115552.89,-0.02
1755601800,115552.90,115599.27,115546.30,115556.11,11.35,115556.11,-0.02
1755601860,115556.12,115589.02,115556.11,115589.00,3.22,115589.00,-0.02
1755601920,115588.99,115589.00,115547.86,115547.87,1.85,115547.87,-0.02
1755601980,115547.87,115573.90,115547.87,115573.90,4.58,115573.90,-0.02
1755602040,115573.90,115597.54,115573.89,115597.53,6.87,115555.39,-0.02
1755602100,115597.53,115597.54,115566.00,115594.24,11.19,115563.65,-0.02
1755602160,115594.23,115594.24,115562.11,115562.12,4.20,115565.89,-0.02
1755602220,115562.12,115562.12,115562.11,115562.12,0.44,115568.14,-0.02
1755602280,115562.12,115597.06,115562.11,115597.06,2.14,115573.28,-0.02
1755602340,115597.05,115597.06,115580.00,115591.60,5.25,115577.15,-0.02
1755602400,115591.59,115612.09,115591.59,115612.09,29.62,115582.75,-0.02
1755602460,115612.08,115612.08,115600.53,115600.54,3.35,115583.91,-0.02
1755602520,115600.54,115631.20,115600.53,115631.20,3.37,115592.24,-0.02
1755602580,115631.20,115631.20,115609.58,115609.58,3.96,115595.81,-0.02
1755602640,115609.59,115609.59,115609.58,115609.58,2.58,115597.01,-0.02
1755602700,115609.59,115609.59,115604.18,115604.19,2.41,115598.01,-0.02
1755602760,115604.19,115622.18,115604.18,115622.18,3.67,115604.01,-0.02
1755602820,115622.18,115650.00,115608.41,115608.41,4.90,115608.64,-0.02
1755602880,115608.42,115608.42,115578.17,115578.17,3.28,115606.75,-0.02
1755602940,115578.17,115578.18,115569.86,115569.86,6.06,115604.58,-0.02
1755603000,115569.86,115569.87,115554.39,115560.00,4.83,115599.37,-0.02
1755603060,115560.00,115586.67,115559.99,115586.66,5.04,115597.98,-0.02
1755603120,115586.67,115586.67,115564.21,115577.64,3.27,115592.63,-0.02
1755603180,115577.65,115577.65,115565.51,115565.52,2.02,115588.22,-0.02
1755603240,115565.52,115565.52,115541.27,115541.28,1.55,115581.39,-0.02
1755603300,115541.27,115550.00,115524.64,115524.65,3.62,115573.44,-0.02
1755603360,115524.65,115524.65,115516.87,115516.87,1.57,115562.91,-0.02
1755603420,115516.87,115516.88,115513.66,115513.66,1.27,115553.43,-0.02
1755603480,115513.66,115513.67,115500.74,115500.74,1.90,115545.69,-0.02
1755603540,115500.75,115500.75,115484.80,115484.81,5.23,115537.18,-0.02
1755603600,115484.81,115484.82,115476.18,115484.81,3.08,115529.66,-0.02
1755603660,115484.82,115519.46,115484.82,115519.45,9.34,115522.94,-0.02
1755603720,115519.46,115540.00,115519.46,115540.00,9.06,115519.18,-0.02
1755603780,115539.99,115539.99,115458.44,115458.44,10.01,115508.47,-0.02
1755603840,115458.45,115464.00,115458.44,115464.00,9.21,115500.74,-0.02
1755603900,115464.00,115466.97,115463.99,115465.75,10.56,115494.85,-0.02
1755603960,115465.75,115511.18,115465.74,115511.17,3.70,115494.28,-0.02
1755604020,115511.18,115565.51,115511.17,115565.51,10.10,115499.47,-0.02
1755604080,115565.51,115577.68,115565.50,115577.68,4.00,115507.16,-0.02
1755604140,115577.68,115577.68,115577.67,115577.68,1.87,115516.45,-0.02
1755604200,115577.68,115577.68,115550.97,115550.98,3.87,115523.07,-0.02
1755604260,115550.97,115577.68,115550.97,115574.31,2.56,115528.55,-0.02
1755604320,115574.31,115574.31,115574.30,115574.30,1.93,115531.98,-0.02
1755604380,115574.30,115574.31,115557.27,115557.27,6.30,115541.86,-0.02
1755604440,115557.27,115557.28,115548.01,115548.01,3.43,115550.27,-0.02
1755604500,115548.02,115548.02,115510.83,115510.84,4.08,115554.77,-0.02
1755604560,115510.84,115548.54,115510.83,115540.01,6.46,115557.66,-0.02
1755604620,115540.01,115540.01,115535.38,115535.39,1.77,115554.65,-0.02
1755604680,115535.39,115540.00,115535.35,115540.00,3.10,115550.88,-0.02
1755604740,115540.00,115540.01,115508.70,115508.71,10.11,115543.98,-0.02
1755604800,115508.71,115508.71,115480.01,115480.01,3.10,115536.89,-0.02
1755604860,115480.01,115489.58,115469.24,115489.58,18.19,115528.41,-0.02
1755604920,115489.58,115491.56,115488.53,115491.56,25.10,115520.14,-0.02
1755604980,115491.56,115491.56,115491.55,115491.56,3.44,115513.57,-0.02
1755605040,115491.56,115491.56,115491.55,115491.56,0.17,115507.92,-0.02
